zip;name
8256;Ábrahámhegy
8226;Alsóörs
8241;Aszófő
8261;Badacsony
ESZAKIPART;Balaton északi part
8243;Balatonakali
8172;Balatonakarattya
8220;Balatonalmádi
8272;Balatoncsicsó
8230;Balatonfüred
8175;Balatonfűzfő
8252;Balatonszepezd
8233;Balatonszőlős
8242;Balatonudvari
BUDAPEST;Budapest
8229;Csopak
8244;Dörgicse
8227;Felsőörs
8380;Hévíz
8247;Hidegkút
KALIMEDENCE;Káli-medence
8283;Káptalantóti
7564;Kaszó
8254;Kővágóörs
8228;Lovas
8449;Magyarpolány
8273;Monoszló
8291;Nagyvázsony
8456;Noszlop
8272;Óbudavár
8242;Örvényes
8229;Paloznak
8245;Pécsely
8253;Révfülöp
8481;Somlóvásárhely
8237;Tihany
8245;Vászoly
8251;Zánka
